ID,left,spell,right,book,type
327,"her wand to face Ron instead \xA8C""",EXPELLIARMUS,"!"" he roared, pointing Wormtail's wand at Bellatri",7 Deathly Hallows,defensive
328,"Draco and Greyback wheeled about; Harry yelled, """,STUPEFY,"!"" and Lucius Malfoy collapsed onto the hearth. Je",7 Deathly Hallows,attack
329,", pointed all of them at Greyback, and yelled, """,STUPEFY,"!"" The werewolf was lifted off his feet by",7 Deathly Hallows,attack
330,"each of the guards in turn and murmured, """,CONFUNDO,"twice. Unnoticed by Travers, who was looking thr",7 Deathly Hallows,charm
331,"whispered, for the first time in his life,",IMPERIO,"!""A curious sensation shot down Harry's arm,",7 Deathly Hallows,forbidden curse
332,"king. Pointing his wand at Travers, he muttered, """,IMPERIO,"!"" once more.""Oh yes, I see,"" said Travers,",7 Deathly Hallows,forbidden curse
333,"the wizard.""Harry pointed his wand at Travers.""",IMPERIO,"!""The wizard turned and set off along the",7 Deathly Hallows,forbidden curse
334,"Gringott's goblin. And we need the clankers!""""",IMPERIO,"!"" Harry said again; his voice echoed through the",7 Deathly Hallows,forbidden curse
335,"Bellatrix's wand at the waterfall and cried, """,PROTEGO,"!"" They saw the Shield Charm break the flow",7 Deathly Hallows,defensive
336,"t you? And hurry, we have little time!""""",LUMOS,"!""Harry shone his lit wand around the vault:",7 Deathly Hallows,charm
337,"t up there without touching anything?"" asked Ron.""",ACCIO,"Cup!"" cried Hermione, who had evidently forgotten",7 Deathly Hallows,charm
338,"her wand, pointed it at Harry, and whispered, """,LEVICORPUS,".""Hoisted into the air by his ankle, Harry",7 Deathly Hallows,charm
339,"Hufflepuff's cup, hooking it onto the blade.""",IMPERVIUS,"!"" screeched Hermione in an attempt to protect her",7 Deathly Hallows,charm
340,"knew that the only way out was through.""",STUPEFY,"!"" he bellowed, and Ron and Hermione joined in:",7 Deathly Hallows,attack
341,"chaining the beast to the floor, he yelled, """,RELASHIO,"!""The cuffs broken open with loud bangs.""This",7 Deathly Hallows,charm
342,"pped, still echoing around the distant mountains.""",ACCIO,"Cloak!"" roared one of the Death Eaters Harry",7 Deathly Hallows,charm
343,"and Hermione that he thought as he whispered """,EXPECTO PATRONUM,"!""The silver stag burst from his wand",7 Deathly Hallows,defensive
344,"out a wand. ""Stag! You idiot \xA8C",EXPECTO PATRONUM,"!""Something huge and horned erupted from the",7 Deathly Hallows,defensive
345,"done that.""As Amycus spun around, Harry shouted, """,CRUCIO,"!""The Death Eater was lifted off his feet.",7 Deathly Hallows,forbidden curse
346,"wand at the groggy Death Eater, and said, """,IMPERIO,".""Amycus got up, walked over to his sister,",7 Deathly Hallows,forbidden curse
347,"and robes and unidentifiable junk, and shouted, """,DESCENDO,"!""The wall began to totter, then the top",7 Deathly Hallows,charm
348,". ""What's going on \xA8C no, Potter!",CRUCIO,"!""Harry had lunged for the tiara; Crabbe's",7 Deathly Hallows,forbidden curse
349,"out of the way.""It's that Mudblood!",AVADA KEDAVRA,"!""Harry saw Hermione dive aside, and his",7 Deathly Hallows,forbidden curse
350,"split second's hesitation was all Harry needed.""",EXPELLIARMUS,"!""Goyle's wand flew out of his hand",7 Deathly Hallows,defensive
351,"rowly missed.Crabbe wheeled around and screamed, """,AVADA KEDAVRA,"!"" again. Ron leapt out of sight to",7 Deathly Hallows,forbidden curse
352,", which were crumbling to soot at their touch.""",AGUAMENTI,"!"" Harry bawled, but the jet of water that",7 Deathly Hallows,charm
353,"difficulty he dragged it over himself, murmured, """,NOX,","" extinguishing his wandlight, and continued on h",7 Deathly Hallows,charm
354,"the boy, after all?""""For him?"" shouted Snape. """,EXPECTO PATRONUM,"!""From the tip of his wand burst",7 Deathly Hallows,defensive
355,"wand, pointing it directly at Lupin's back.""",SECTUMSEMPRA,"!"" shouted Snape.But the spell, intended for the",7 Deathly Hallows,attack
356,"Draco's wand beneath the Cloak, and murmured, """,LUMOS,".""The black stone with is jagged crack running",7 Deathly Hallows,charm
357,no man alive can threaten me now! Watch!,CRUCIO,"!""Harry had been expecting it, knew his body",7 Deathly Hallows,forbidden curse
358,"his wand and directed it at Molly Weasley.""",PROTEGO,"!"" roared Harry, and the Shield Charm expanded in",7 Deathly Hallows,defensive
359,"hope to the heavens, pointing Draco's wand:""",AVADA KEDAVRA,"!""""Expelliarmus!""The bang was like a cannon",7 Deathly Hallows,forbidden curse
360,"e heavens, pointing Draco's wand:""Avada Kedavra!""""",EXPELLIARMUS,"!""The bang was like a cannon blast, and",7 Deathly Hallows,defensive
361,"very tip of the Elder Wand, and said, """,REPARO,".""As his wand resealed, red sparks flew out",7 Deathly Hallows,charm
