character,series,production,genre,gender,age,nationality,species,words,like,I mean,you know,sort of,kind of
Rory,Gilmore Girls,US,dramedy,female,young,American,human,183463,24,305,181,18,139
Sookie,Gilmore Girls,US,dramedy,female,middle,American,human,41820,3,81,62,9,32
Luke,Gilmore Girls,US,dramedy,male,middle,American,human,84922,4,155,182,15,47
Lorelai,Gilmore Girls,US,dramedy,female,middle,American,human,317313,38,390,487,46,133
Paris,Gilmore Girls,US,dramedy,female,young,American,human,40036,2,52,32,7,10
Emily,Gilmore Girls,US,dramedy,female,older,American,human,75047,0,38,44,12,5
Richard,Gilmore Girls,US,dramedy,male,older,American,human,35703,0,4,20,9,2
