character,series,production,genre,gender,age,nationality,species,words,like,I mean,you know,sort of,kind of
Sherlock,Sherlock,UK,crime,male,middle,British,human,33742,0,2,15,4,5
John,Sherlock,UK,crime,male,middle,British,human,16328,0,9,14,8,3
