character,series,production,genre,gender,age,nationality,species,words,like,I mean,you know,sort of,kind of
Xander,Buffy the Vampire Slayer,US,science fantasy,male,young,American,human,58509,22,111,84,17,72
Dawn,Buffy the Vampire Slayer,US,science fantasy,female,young,American,human,16215,13,33,30,4,19
Cordelia,Buffy the Vampire Slayer,US,science fantasy,female,young,American,human,13335,11,23,17,5,7
Willow,Buffy the Vampire Slayer,US,science fantasy,female,young,American,human,60492,29,184,113,34,83
Angel,Buffy the Vampire Slayer,US,science fantasy,male,middle,American,demon,11022,0,13,19,2,11
Buffy,Buffy the Vampire Slayer,US,science fantasy,female,young,American,human,126682,34,199,294,45,134
Anya,Buffy the Vampire Slayer,US,science fantasy,female,young,American,demon,22716,4,82,55,6,12
Spike,Buffy the Vampire Slayer,US,science fantasy,male,middle,British,demon,32228,0,20,54,3,7
Giles,Buffy the Vampire Slayer,US,science fantasy,male,middle,British,human,48505,0,41,33,15,5
